DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20151021	['0.0', '76', '57', '0.0', '2.24', '250', '240', '12.1', '18.1', '-9999']
20151022	['0.0', '75', '58', '0.0', '4.70', '260', '260', '12.1', '19.0', '-9999']
20151023	['0.0', '65', '45', '0.0', '6.71', '60', '290', '14.1', '21.9', '-9999']
20151024	['0.0', '57', '40', '0.0', '4.03', '70', '60', '10.1', '15.0', '-9999']
20151025	['0.0', '68', '48', '0.0', '4.92', '360', '20', '13.0', '21.9', '1']
20151026	['0.0', '58', '46', '0.0', '3.80', '60', '30', '12.1', '19.0', '-9999']
20151027	['0.0', '59', '45', '0.0', '4.47', '120', '60', '10.1', '15.0', '-9999']
20151028	['0.0', '69', '53', '0.0', '6.71', '100', '190', '14.1', '28.0', '1']
20151029	['0.0', '73', '57', '0.0', '6.49', '280', '280', '17.0', '30.0', '1']
20151030	['0.0', '61', '48', '0.0', '5.82', '320', '310', '13.0', '23.9', '-9999']
20151031	['0.0', '56', '42', '0.0', '2.91', '10', '40', '10.1', '16.1', '-9999']
20151101	['0.0', '65', '54', '0.0', '4.92', '240', '240', '16.1', '23.0', '-9999']
20151102	['0.0', '63', '54', '0.0', '2.01', '290', '240', '8.1', '14.1', '-9999']
20151103	['0.0', '72', '48', '0.0', '2.46', '240', '250', '8.1', '13.0', '-9999']
20151104	['0.0', '70', '56', '0.0', '2.46', '150', '170', '8.9', '14.1', '1']
20151105	['0.0', '71', '56', '0.0', '2.01', '240', '250', '8.9', '16.1', '1']
20151106	['0.0', '74', '66', '0.0', '4.70', '240', '240', '14.1', '25.9', '1']
20151107	['0.0', '72', '53', '0.0', '4.47', '310', '310', '12.1', '19.0', '-9999']
20151108	['0.0', '56', '46', '0.0', '3.58', '310', '310', '15.0', '23.0', '-9999']
20151109	['0.0', '59', '43', '0.0', '2.01', '270', '270', '8.9', '13.0', '-9999']
20151110	['0.0', '57', '51', '0.0', '9.84', '70', '60', '23.0', '34.0', '1']
20151111	['0.0', '58', '49', '0.0', '4.92', '60', '70', '13.0', '18.1', '1']
20151112	['0.0', '61', '51', '0.0', '5.59', '290', '280', '17.0', '28.0', '1']
20151113	['0.0', '58', '46', '0.0', '10.74', '290', '280', '19.9', '36.9', '-9999']
20151114	['0.0', '49', '42', '0.0', '7.83', '310', '320', '21.0', '32.0', '-9999']
20151115	['0.0', '58', '39', '0.0', '4.70', '240', '250', '13.0', '21.9', '-9999']
20151116	['0.0', '67', '51', '0.0', '4.03', '50', '50', '14.1', '19.9', '-9999']
20151117	['0.0', '52', '40', '0.0', '6.26', '60', '50', '17.0', '21.0', '-9999']
20151118	['0.0', '58', '46', '0.0', '5.14', '140', '150', '13.0', '21.0', '-9999']
20151119	['0.0', '64', '57', '0.0', '5.59', '160', '160', '17.0', '30.0', '1']
20151120	['0.0', '64', '46', '0.0', '5.82', '290', '320', '15.0', '21.9', '-9999']
20151121	['0.0', '53', '42', '0.0', '6.49', '60', '30', '16.1', '21.9', '-9999']
20151122	['0.0', '55', '42', '0.0', '6.26', '360', '20', '13.0', '21.0', '1']
20151123	['0.0', '44', '33', '0.0', '5.82', '310', '300', '13.0', '23.0', '-9999']
20151124	['0.0', '46', '32', '0.0', '3.80', '260', '250', '12.1', '16.1', '-9999']
20151125	['0.0', '50', '36', '0.0', '2.68', '70', '60', '8.9', '13.0', '-9999']
20151126	['0.0', '60', '41', '0.0', '2.91', '180', '160', '8.1', '14.1', '-9999']
20151127	['0.0', '64', '51', '0.0', '3.80', '240', '99', '8.9', '18.1', '1']
20151128	['0.0', '64', '45', '0.0', '-9999', '-9999', '-9999', '-9999', '-9999', '-9999']
20151129	['0.0', '49', '38', '0.0', '-9999', '-9999', '-9999', '-9999', '-9999', '-9999']
20151130	['0.0', '47', '33', '0.0', '5.59', '60', '240', '13.0', '19.0', '1']
20151201	['0.0', '51', '44', '0.0', '6.71', '110', '110', '12.1', '19.0', '-9999']
20151202	['0.0', '57', '46', '0.0', '2.91', '270', '260', '8.9', '17.0', '-9999']
20151203	['0.0', '55', '44', '0.0', '8.50', '290', '300', '16.1', '27.1', '-9999']
20151204	['0.0', '51', '42', '0.0', '4.25', '280', '310', '12.1', '18.1', '-9999']
20151205	['0.0', '51', '40', '0.0', '2.24', '260', '250', '8.9', '12.1', '-9999']
20151206	['0.0', '53', '39', '0.0', '3.36', '260', '260', '12.1', '16.1', '-9999']
20151207	['0.0', '54', '42', '0.0', '3.80', '350', '270', '10.1', '16.1', '-9999']
20151208	['0.0', '49', '41', '0.0', '4.47', '20', '40', '13.0', '18.1', '-9999']
20151209	['0.0', '55', '40', '0.0', '4.25', '170', '190', '13.0', '21.9', '-9999']
20151210	['0.0', '60', '51', '0.0', '4.25', '260', '270', '12.1', '18.1', '-9999']
20151211	['0.0', '61', '50', '0.0', '4.70', '250', '250', '13.0', '19.9', '-9999']
20151212	['0.0', '66', '55', '0.0', '2.01', '190', '250', '8.9', '16.1', '-9999']
20151213	['0.0', '67', '55', '0.0', '3.36', '130', '140', '12.1', '18.1', '-9999']
20151214	['0.0', '67', '53', '0.0', '4.70', '160', '180', '13.0', '19.0', '1']
20151215	['0.0', '68', '53', '0.0', '10.51', '290', '310', '21.0', '34.0', '-9999']
20151216	['0.0', '53', '46', '0.0', '5.37', '360', '350', '14.1', '21.9', '1']
20151217	['0.0', '59', '50', '0.0', '4.92', '170', '170', '12.1', '18.1', '1']
20151218	['0.0', '57', '38', '0.0', '6.71', '310', '320', '17.0', '25.9', '-9999']
20151219	['0.0', '40', '35', '0.0', '9.40', '290', '280', '19.9', '30.0', '-9999']
20151220	['0.0', '43', '34', '0.0', '6.04', '310', '320', '17.0', '25.9', '-9999']
20151221	['0.0', '56', '39', '0.0', '7.16', '250', '240', '17.0', '29.1', '-9999']
20151222	['0.0', '62', '53', '0.0', '4.92', '180', '260', '14.1', '19.9', '1']
20151223	['0.0', '64', '52', '0.0', '3.58', '180', '170', '10.1', '17.0', '1']
20151224	['0.0', '72', '63', '0.0', '4.47', '270', '210', '15.0', '27.1', '1']
20151225	['0.0', '66', '57', '0.0', '0.89', '310', '310', '8.1', '12.1', '1']
20151226	['0.0', '59', '47', '0.0', '8.05', '40', '40', '15.0', '21.9', '1']
20151227	['0.0', '61', '46', '0.0', '5.82', '310', '320', '15.0', '25.9', '1']
20151228	['0.0', '46', '34', '0.0', '8.28', '90', '100', '18.1', '28.0', '-9999']
20151229	['0.0', '46', '34', '0.0', '6.93', '100', '120', '18.1', '23.9', '1']
20151230	['0.0', '48', '38', '0.0', '4.03', '120', '110', '8.9', '13.0', '1']
20151231	['0.0', '48', '42', '0.0', '5.37', '300', '300', '14.1', '19.9', '1']
