DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20150309	['13.0', '54', '40', '0.0', '4.70', '290', '290', '16.1', '25.1', '-9999']
20150310	['11.0', '53', '39', '0.0', '3.58', '180', '170', '12.1', '17.0', '1']
20150311	['5.9', '59', '44', '0.0', '6.93', '320', '330', '14.1', '21.9', '1']
20150312	['3.9', '47', '36', '0.0', '8.28', '350', '310', '19.9', '33.1', '-9999']
20150313	['2.0', '43', '31', '0.0', '6.49', '170', '190', '13.0', '19.9', '-9999']
20150314	['1.2', '51', '40', '0.0', '5.59', '160', '170', '15.0', '21.9', '1']
20150315	['0.0', '44', '36', '0.0', '11.41', '310', '320', '23.0', '40.9', '-9999']
20150316	['0.0', '52', '35', '0.0', '3.80', '310', '310', '13.0', '19.9', '-9999']
20150317	['0.0', '57', '34', '0.0', '9.62', '310', '310', '23.9', '42.9', '-9999']
20150318	['0.0', '39', '29', '0.0', '9.62', '310', '290', '19.9', '35.1', '-9999']
20150319	['0.0', '43', '29', '0.0', '5.82', '280', '310', '14.1', '21.9', '-9999']
20150320	['0.0', '38', '29', '4.5', '7.83', '60', '70', '17.0', '21.9', '1']
20150321	['5.1', '47', '29', '0.0', '5.37', '310', '320', '16.1', '27.1', '1']
20150322	['0.0', '43', '28', '0.0', '7.61', '310', '310', '18.1', '30.0', '-9999']
20150323	['0.0', '38', '23', '0.0', '6.71', '310', '280', '16.1', '27.1', '-9999']
20150324	['0.0', '45', '26', '0.0', '4.03', '360', '360', '13.0', '17.0', '-9999']
20150325	['0.0', '49', '34', '0.0', '4.47', '160', '180', '13.0', '21.9', '1']
20150326	['0.0', '62', '42', '0.0', '2.91', '30', '360', '14.1', '23.0', '1']
20150327	['0.0', '46', '39', '0.0', '4.25', '360', '290', '12.1', '18.1', '1']
20150328	['0.0', '40', '26', '0.0', '7.61', '10', '310', '15.0', '23.0', '-9999']
20150329	['0.0', '46', '25', '0.0', '6.26', '230', '250', '14.1', '21.9', '-9999']
20150330	['0.0', '54', '36', '0.0', '7.83', '290', '280', '23.9', '44.1', '-9999']
20150331	['0.0', '47', '35', '0.0', '5.37', '280', '280', '13.0', '19.9', '1']
20150401	['0.0', '51', '32', '0.0', '5.14', '280', '280', '15.0', '23.0', '-9999']
20150402	['0.0', '67', '41', '0.0', '6.26', '250', '260', '19.9', '31.1', '-9999']
20150403	['0.0', '64', '59', '0.0', '6.71', '250', '250', '16.1', '25.1', '1']
20150404	['0.0', '60', '42', '0.0', '10.07', '310', '310', '23.9', '40.9', '1']
20150405	['0.0', '61', '42', '0.0', '4.92', '280', '290', '18.1', '30.0', '-9999']
20150406	['0.0', '63', '42', '0.0', '4.25', '250', '250', '12.1', '18.1', '-9999']
20150407	['0.0', '62', '42', '0.0', '6.93', '60', '50', '17.0', '25.1', '1']
20150408	['0.0', '45', '37', '0.0', '11.41', '70', '60', '21.9', '32.0', '1']
20150409	['0.0', '43', '37', '0.0', '8.95', '60', '60', '18.1', '25.1', '1']
20150410	['0.0', '56', '39', '0.0', '4.70', '290', '290', '14.1', '21.9', '1']
20150411	['0.0', '57', '44', '0.0', '8.72', '310', '300', '17.0', '29.1', '-9999']
20150412	['0.0', '66', '43', '0.0', '3.36', '250', '260', '13.0', '21.0', '-9999']
20150413	['0.0', '68', '50', '0.0', '4.70', '170', '180', '15.0', '23.9', '-9999']
20150414	['0.0', '65', '55', '0.0', '3.80', '240', '240', '13.0', '21.9', '-9999']
20150415	['0.0', '72', '51', '0.0', '6.26', '40', '40', '21.0', '35.1', '-9999']
20150416	['0.0', '64', '52', '0.0', '6.49', '170', '170', '16.1', '21.0', '-9999']
20150417	['0.0', '71', '55', '0.0', '5.14', '240', '250', '15.0', '25.1', '-9999']
20150418	['0.0', '80', '59', '0.0', '4.25', '350', '360', '15.0', '25.1', '-9999']
20150419	['0.0', '64', '48', '0.0', '8.50', '180', '170', '15.0', '21.9', '-9999']
20150420	['0.0', '57', '46', '0.0', '7.38', '130', '110', '16.1', '27.1', '1']
20150421	['0.0', '65', '52', '0.0', '6.04', '290', '290', '16.1', '23.9', '1']
20150422	['0.0', '69', '48', '0.0', '6.49', '270', '290', '19.9', '33.1', '-9999']
20150423	['0.0', '52', '41', '0.0', '9.17', '310', '320', '21.0', '33.1', '-9999']
20150424	['0.0', '52', '39', '0.0', '8.50', '310', '20', '17.0', '33.1', '-9999']
20150425	['0.0', '62', '38', '0.0', '5.59', '50', '280', '14.1', '21.9', '-9999']
20150426	['0.0', '64', '46', '0.0', '5.14', '50', '40', '13.0', '21.0', '-9999']
20150427	['0.0', '62', '49', '0.0', '5.82', '310', '310', '16.1', '28.0', '-9999']
20150428	['0.0', '71', '50', '0.0', '7.83', '20', '10', '17.0', '25.9', '-9999']
20150429	['0.0', '78', '50', '0.0', '5.59', '60', '50', '17.0', '23.0', '-9999']
20150430	['0.0', '67', '48', '0.0', '8.05', '60', '60', '15.0', '21.0', '-9999']
20150501	['0.0', '63', '49', '0.0', '5.14', '50', '160', '14.1', '18.1', '-9999']
20150502	['0.0', '74', '48', '0.0', '2.91', '160', '160', '15.0', '21.9', '-9999']
20150503	['0.0', '80', '51', '0.0', '2.46', '180', '180', '10.1', '18.1', '-9999']
